Supplemental Data1:  Measurements of Protein degradation rates in hydroponic plants Arabidopsis,,,,,,,,,,,,,
Criteria: 1. Quantified KD at least two biological Replicates. 2.At least three peptides were used for KD Measurements.3. Outliers in Major Fun Cats (no less than 4 proteins) were highlighted by Red-Bold Fonts.,,,,,,,,,,,,,
AGI,Anno,Location SUBAcon,bincode,binname,Functional Categories (no less than 4 proteins at the 2nd level Mapcave of binname),WTR1 KD (FCP=2.73),WTR2 KD (FCP=2.51),WTR3 KD (FCP=2.64),WT KD (Average),Rep NO,SD,Pep NO,KD Value Rank (1-455)
AT4G11600.1,"  Symbols: ATGPX6, PHGPX, LSC803, GPX6   glutathione peroxidase 6   chr4:7010021-7011330 REVERSE LENGTH=232",mitochondrion,#21.2.2,redox.ascorbate and glutathione.glutathione,,0.05,0.07,0.06,0.06,3,0,9,232
AT1G22800.1,  Symbols:    S-adenosyl-L-methionine-dependent methyltransferases superfamily protein   chr1:8072020-8074039 FORWARD LENGTH=355,mitochondrion,#18.6,Co-factor and vitamine metabolism.biotin,,0.07,0.06,0.06,0.06,3,0.01,9,235
"AT5G41670.1, AT5G41670.2","  Symbols:    6-phosphogluconate dehydrogenase family protein   chr5:16665647-16667110 REVERSE LENGTH=487,  Symbols:    6-phosphogluconate dehydrogenase family protein   chr5:16665647-16667110 REVERSE LENGTH=487",mitochondrion,#7.1.3,OPP.oxidative PP.6-phosphogluconate dehydrogenase,,0.06,0.06,0.07,0.06,3,0.02,16,244
"AT4G08390.1, AT4G08390.2, AT4G08390.3","  Symbols: SAPX   stromal ascorbate peroxidase   chr4:5314999-5317071 FORWARD LENGTH=372,  Symbols: SAPX   stromal ascorbate peroxidase   chr4:5314999-5317071 FORWARD LENGTH=372,  Symbols: SAPX   stromal ascorbate peroxidase   chr4:5314999-5317071 FORWARD LENGTH=371","mitochondrion,plastid",#21.2.1,redox.ascorbate and glutathione.ascorbate,,0.07,0.07,0.06,0.06,3,0.01,6,252
"AT2G41700.1, AT2G41700.2","  Symbols: ABCA1, AtABCA1   ATP-binding cassette A1   chr2:17383239-17396110 REVERSE LENGTH=1882,  Symbols: ABCA1, AtABCA1   ATP-binding cassette A1   chr2:17383239-17395932 REVERSE LENGTH=1846",mitochondrion,#34.16,transport.ABC transporters and multidrug resistance systems,,0.08,0.06,0.08,0.07,3,0.02,5,267
AT4G13360.1,  Symbols:    ATP-dependent caseinolytic (Clp) protease/crotonase family protein   chr4:7775133-7777701 FORWARD LENGTH=421,mitochondrion,#11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase,,0.05,0.1,0.07,0.07,3,0.01,11,268
AT5G18170.1,  Symbols: GDH1   glutamate dehydrogenase 1   chr5:6006172-6008248 FORWARD LENGTH=411,mitochondrion,#12.3.1,N-metabolism.N-degradation.glutamate dehydrogenase,,0.08,0.08,0.06,0.07,3,0.02,8,273
AT3G59820.1,  Symbols:    LETM1-like protein   chr3:22098306-22101759 REVERSE LENGTH=755,mitochondrion,#30.3,signalling.calcium,,0.07,0.09,0.07,0.07,3,0,4,274
"AT1G06130.1, AT1G06130.2","  Symbols: GLX2-4   glyoxalase 2-4   chr1:1858034-1860640 REVERSE LENGTH=331,  Symbols: GLX2-4   glyoxalase 2-4   chr1:1858034-1860640 REVERSE LENGTH=330",mitochondrion,#24.1,Biodegradation of Xenobiotics.hydroxyacylglutathione hydrolase,,0.07,0.1,0.07,0.08,3,0.01,6,285
"AT3G55010.1, AT3G55010.2","  Symbols: ATPURM, PUR5   phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)   chr3:20386818-20388549 FORWARD LENGTH=389,  Symbols: ATPURM, PUR5   phosphoribosylformylglycinamidine cyclo-ligase, chloroplast / phosphoribosyl-aminoimidazole synthetase / AIR synthase (PUR5)   chr3:20386818-20388549 FORWARD LENGTH=389",mitochondrion,#23.1.2.5,nucleotide metabolism.synthesis.purine.AIR synthase,,0.09,0.09,0.07,0.08,3,0.01,3,297
"AT3G61530.1, AT3G61530.2","  Symbols: PANB2   Phosphoenolpyruvate carboxylase family protein   chr3:22771692-22773313 REVERSE LENGTH=354,  Symbols: PANB2   Phosphoenolpyruvate carboxylase family protein   chr3:22771692-22773313 REVERSE LENGTH=354",mitochondrion,#18.4.2,"Co-factor and vitamine metabolism.pantothenate.3-methyl-2-oxobutanoate hydroxymethyltransferase (KPHMT,PANB)",,0.13,0.05,0.08,0.08,3,0.05,9,302
AT3G06050.1,"  Symbols: PRXIIF, ATPRXIIF   peroxiredoxin IIF   chr3:1826311-1827809 REVERSE LENGTH=201",mitochondrion,#21.5,redox.peroxiredoxin,,0.08,0.08,0.09,0.08,3,0.01,41,304
AT5G14580.1,"  Symbols:    polyribonucleotide nucleotidyltransferase, putative   chr5:4697612-4703013 REVERSE LENGTH=991",mitochondrion,#27.1,RNA.processing,,0.09,0.1,0.08,0.09,3,0.01,23,308
AT3G48000.1,"  Symbols: ALDH2B4, ALDH2, ALDH2A   aldehyde dehydrogenase 2B4   chr3:17717082-17719843 REVERSE LENGTH=538",mitochondrion,#5.10,fermentation.aldehyde dehydrogenase,,0.08,0.09,0.1,0.09,3,0.01,49,316
"AT5G27540.1, AT5G27540.2","  Symbols: MIRO1, emb2473   MIRO-related GTP-ase 1   chr5:9722816-9727112 FORWARD LENGTH=648,  Symbols: MIRO1   MIRO-related GTP-ase 1   chr5:9722816-9727112 FORWARD LENGTH=648",mitochondrion,#30.5,signalling.G-proteins,,0.09,0.1,0.1,0.09,3,0.01,44,323
AT2G30920.1,"  Symbols: ATCOQ3, EMB3002, COQ3   coenzyme Q 3   chr2:13157409-13159824 REVERSE LENGTH=322",mitochondrion,#18.8.1,Co-factor and vitamine metabolism.ubiquinone.hexaprenyldihydroxybenzoate methyltransferase,,0.13,0.03,0.14,0.09,3,0.07,4,324
AT4G01660.1,"  Symbols: ATABC1, ATATH10, ABC1   ABC transporter 1   chr4:708652-711095 FORWARD LENGTH=623",mitochondrion,#9.99,mitochondrial electron transport / ATP synthesis.unspecified,,0.09,0.1,0.1,0.1,3,0.01,7,327
AT1G64190.1,  Symbols:    6-phosphogluconate dehydrogenase family protein   chr1:23825549-23827012 REVERSE LENGTH=487,mitochondrion,#7.1.3,OPP.oxidative PP.6-phosphogluconate dehydrogenase,,0.09,0.1,0.11,0.1,3,0.01,9,329
"AT2G38660.1, AT2G38660.3, AT2G38660.4","  Symbols:    Amino acid dehydrogenase family protein   chr2:16166392-16168194 FORWARD LENGTH=352,  Symbols:    Amino acid dehydrogenase family protein   chr2:16166392-16168194 FORWARD LENGTH=352,  Symbols:    Amino acid dehydrogenase family protein   chr2:16166392-16168282 FORWARD LENGTH=332",mitochondrion,#25.5,C1-metabolism.Methylenetetrahydrofolate dehydrogenase & Methenyltetrahydrofolate cyclohydrolase,,0.08,0.11,0.12,0.1,3,0.01,3,335
AT4G29130.1,"  Symbols: ATHXK1, GIN2, HXK1   hexokinase 1   chr4:14352338-14354865 REVERSE LENGTH=496",mitochondrion,#2.2.1.4,major CHO metabolism.degradation.sucrose.hexokinase,,0.11,0.1,0.11,0.1,3,0.01,29,341
AT1G50940.1,  Symbols: ETFALPHA   electron transfer flavoprotein alpha   chr1:18878038-18879939 REVERSE LENGTH=363,mitochondrion,#9.3,mitochondrial electron transport / ATP synthesis.electron transfer flavoprotein,,0.11,0.12,0.11,0.11,3,0.01,27,347
"AT3G15660.1, AT3G15660.2","  Symbols: ATGRX4, GRX4   glutaredoxin 4   chr3:5308134-5309383 REVERSE LENGTH=169,  Symbols: ATGRX4, GRX4   glutaredoxin 4   chr3:5308134-5309383 REVERSE LENGTH=169",mitochondrion,#21.4,redox.glutaredoxins,,0.11,0.11,0.12,0.11,3,0.01,15,350
AT5G14780.1,  Symbols: FDH   formate dehydrogenase   chr5:4777043-4779190 FORWARD LENGTH=384,mitochondrion,#25.10,C1-metabolism.formate dehydrogenase,,0.12,0.13,0.12,0.12,3,0.01,38,361
AT2G43400.1,  Symbols: ETFQO   electron-transfer flavoprotein:ubiquinone oxidoreductase   chr2:18021304-18025041 FORWARD LENGTH=633,mitochondrion,#9.3,mitochondrial electron transport / ATP synthesis.electron transfer flavoprotein,,0.13,0.12,0.12,0.12,3,0.01,8,363
AT1G48420.1,"  Symbols: D-CDES, ATACD1, ACD1   D-cysteine desulfhydrase   chr1:17896767-17898803 REVERSE LENGTH=401",mitochondrion,#17.5.1,hormone metabolism.ethylene.synthesis-degradation,,0.12,0.13,0.12,0.12,3,0.01,3,365
"AT4G32210.1, AT5G09600.1, AT5G09600.2, AT5G09600.3","  Symbols: SDH3-2   succinate dehydrogenase 3-2   chr4:15556732-15558041 REVERSE LENGTH=213,  Symbols: SDH3-1   succinate dehydrogenase 3-1   chr5:2979220-2980527 FORWARD LENGTH=213,  Symbols: SDH3-1   succinate dehydrogenase 3-1   chr5:2979777-2980527 FORWARD LENGTH=186,  Symbols: SDH3-1   succinate dehydrogenase 3-1   chr5:2979220-2980527 FORWARD LENGTH=213",mitochondrion,#28.1,DNA.synthesis/chromatin structure,,0.13,0.13,0.13,0.13,3,0.01,9,369
AT3G20970.1,"  Symbols: NFU4, ATNFU2   NFU domain protein 4   chr3:7348277-7350069 FORWARD LENGTH=283",mitochondrion,#29.8,protein.assembly and cofactor ligation,,0.13,0.13,0.14,0.13,3,0.01,6,372
AT1G65540.1,  Symbols:    LETM1-like protein   chr1:24362382-24366011 REVERSE LENGTH=736,mitochondrion,#30.3,signalling.calcium,,0.12,0.14,0.14,0.13,3,0,32,377
AT2G19490.1,  Symbols:    recA DNA recombination family protein   chr2:8441732-8444006 FORWARD LENGTH=430,mitochondrion,#28.1,DNA.synthesis/chromatin structure,,0.13,0.15,0.14,0.13,3,0,5,379
AT1G06530.1,  Symbols:    Tropomyosin-related   chr1:2001625-2002596 FORWARD LENGTH=323,mitochondrion,#31.1,cell.organisation,,0.14,0.15,0.15,0.14,3,0.01,30,386
AT1G51390.1,"  Symbols: NFU5, ATNFU1   NFU domain protein 5   chr1:19050427-19051753 FORWARD LENGTH=275",mitochondrion,#29.8,protein.assembly and cofactor ligation,,0.14,0.14,0.16,0.14,3,0.02,14,388
"AT5G07440.1, AT5G07440.2","  Symbols: GDH2   glutamate dehydrogenase 2   chr5:2356153-2358012 FORWARD LENGTH=411,  Symbols: GDH2   glutamate dehydrogenase 2   chr5:2356153-2358012 FORWARD LENGTH=411",mitochondrion,#12.3.1,N-metabolism.N-degradation.glutamate dehydrogenase,,0.15,0.15,0.14,0.15,3,0.01,6,390
AT4G37930.1,"  Symbols: SHM1, STM, SHMT1   serine transhydroxymethyltransferase 1   chr4:17831891-17834742 REVERSE LENGTH=517",mitochondrion,#25.1,C1-metabolism.glycine hydroxymethyltransferase,,0.15,0.13,0.17,0.15,3,0.03,64,395
AT5G02130.1,  Symbols: NDP1   Tetratricopeptide repeat (TPR)-like superfamily protein   chr5:419747-421958 REVERSE LENGTH=420,mitochondrion,#31.1,cell.organisation,,0.15,0.17,0.16,0.16,3,0,8,401
AT1G74260.1,  Symbols: PUR4   purine biosynthesis 4   chr1:27923005-27927764 REVERSE LENGTH=1407,"mitochondrion,plastid",#23.1.2.4,nucleotide metabolism.synthesis.purine.FGAR amidotransferase,,0.14,0.16,0.19,0.16,3,0.02,7,405
AT1G56560.1,  Symbols:    Plant neutral invertase family protein   chr1:21192593-21194948 FORWARD LENGTH=616,mitochondrion,#2.2.1.3.1,major CHO metabolism.degradation.sucrose.invertases.neutral,,0.2,0.19,0.23,0.21,3,0.03,11,424
AT1G23800.1,"  Symbols: ALDH2B7, ALDH2B   aldehyde dehydrogenase 2B7   chr1:8412238-8414804 REVERSE LENGTH=534",mitochondrion,#5.10,fermentation.aldehyde dehydrogenase,,0.19,0.24,0.22,0.22,3,0.01,8,426
"AT2G16710.1, AT2G16710.2, AT2G16710.3","  Symbols:    Iron-sulphur cluster biosynthesis family protein   chr2:7248294-7250013 FORWARD LENGTH=137,  Symbols:    Iron-sulphur cluster biosynthesis family protein   chr2:7248294-7249937 FORWARD LENGTH=110,  Symbols:    Iron-sulphur cluster biosynthesis family protein   chr2:7248294-7250013 FORWARD LENGTH=143",mitochondrion,#18.7,Co-factor and vitamine metabolism.iron-sulphur clusters,,0.29,0.25,0.28,0.27,3,0.03,7,444
AT3G26770.1,  Symbols:    NAD(P)-binding Rossmann-fold superfamily protein   chr3:9845494-9847079 FORWARD LENGTH=306,mitochondrion,#26.22,misc.short chain dehydrogenase/reductase (SDR),,0.27,,0.29,0.28,2,0.01,3,448
AT5G40610.1,  Symbols:    NAD-dependent glycerol-3-phosphate dehydrogenase family protein   chr5:16265071-16267258 REVERSE LENGTH=400,mitochondrion,#11.5.2,lipid metabolism.glyceral metabolism.Glycerol-3-phosphate dehydrogenase (NAD+),,0.38,0.5,0.11,0.33,3,0.19,4,450
